timestamp,open,high,low,close,volume
2025-11-10 23:08:40.824112,2000.0,2005.7919524383965,1996.6391244990941,2000.0,5284.356759989953
2025-11-10 23:13:40.824112,2000.0,2000.6528889697177,1992.005704731572,1997.4347139765762,1742.1914541591013
2025-11-10 23:18:40.824112,1997.4347139765762,2012.8330142835878,1997.4347139765762,2010.5716131464444,2026.7306178131953
2025-11-10 23:23:40.824112,2010.5716131464444,2046.4304058020293,2010.5716131464444,2041.3942762604438,6716.770950962201
2025-11-10 23:28:40.824112,2041.3942762604438,2041.7690711613482,2029.1041892929823,2036.818422098797,7392.901678666026
2025-11-10 23:33:40.824112,2036.818422098797,2036.818422098797,2027.7366795988698,2032.2531592689245,5962.68278624926
2025-11-10 23:38:40.824112,2032.2531592689245,2069.6748840527566,2032.2531592689245,2064.54998691958,2217.0050060031167
2025-11-10 23:43:40.824112,2064.54998691958,2081.3911434719607,2064.54998691958,2080.6005155186144,6816.092149418482
2025-11-10 23:48:40.824112,2080.6005155186144,2080.6005155186144,2064.2938282112705,2071.0406890761756,4854.642564089711
2025-11-10 23:53:40.824112,2071.0406890761756,2087.632596472744,2071.0406890761756,2082.484432410418,7016.704102804277
2025-11-10 23:58:40.824112,2082.484432410418,2082.484432410418,2070.211201438952,2073.042079543804,1465.1983351303063
2025-11-11 00:03:40.824112,2073.042079543804,2073.042079543804,2061.2569742038327,2063.5946099832913,9491.695961294992
2025-11-11 00:08:40.824112,2063.5946099832913,2075.5357308575626,2063.0897186361985,2068.7940898385195,3634.138552187118
2025-11-11 00:13:40.824112,2068.7940898385195,2068.7940898385195,2023.4001471304534,2029.4191406239747,2611.327645304795
2025-11-11 00:18:40.824112,2029.4191406239747,2029.4191406239747,1987.7114303959677,1994.6162698849814,9319.539611273245
2025-11-11 00:23:40.824112,1994.6162698849814,1994.6162698849814,1979.5292216177431,1983.6002529701952,515.8570974462378
2025-11-11 00:28:40.824112,1983.6002529701952,1983.6002529701952,1958.0538721756518,1963.7080923303777,5708.01939919838
2025-11-11 00:33:40.824112,1963.7080923303777,1972.0531593929538,1963.7080923303777,1970.0753634397167,253.27634546140183
2025-11-11 00:38:40.824112,1970.0753634397167,1970.0753634397167,1949.9701307885093,1952.3836123701162,7310.3235538879735
